Z,N,symb,radius, unc, energy, unc, jp, half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quad , unc,Qb-,unc,Qb- n,unc,Qa, unc, Qec, unc,Sn,unc, Sp,unc,Binding/A,unc,atomic mass, unc, mass excess,unc
67,109,Ho,,,0.0,0.0, ,GT,160, ,NS,1.6E-7,5.0E15,B-,-1.0,0.0,B-N,-1.0,0.0, , , , , , , , ,7340,643,1290,643,-1865,711,,,4159,643,,,7997,3,175957820,540,-39290,503,
68,101,Er,,,0.0,0.0,1/2-, ,9.392,18,D,811468.8,1555.2,B-,100.0,0.0, , , , , , , ,0.515, , , ,352.108,1114,-7681.50,188,264.59,113,-2125.927,20,6003.25,15,8150.90,30,8117.019,7,168934596.353,1265,-60923.104,1179,
68,102,Er,5.2789,41,0.0,0.0,0+, ,STABLE, , , , , , , , , , , , , , , , , , ,-312.828,1821,-6904.79,183,51.19,166,-3870.0,50,7256.89,146,8600.47,20,8111.959,9,169935470.673,1659,-60108.681,1546,
68,103,Er,,,0.0,0.0,5/2-, ,7.516,2,H,27057.6,7.2,B-,100.0,0.0, , , , , , , ,0.659, ,2.86, ,1491.342,1256,-5994.42,183,-213.25,60,-3200.0,600,5681.59,35,8769.25,50,8097.746,9,170938036.148,1670,-57718.956,1557,
68,104,Er,,,0.0,0.0,0+, ,49.3,5,H,177480.0,1800.0,B-,100.0,0.0, , , , , , , , , , , ,890.767,4543,-5344.63,4,-348.96,140,-4999.612,196,6835.97,4,9253.63,600,8090.41,23,171939362.344,4302,-56483.612,4008,
68,105,Er,,,0.0,0.0,(7/2-), ,1.4,1,M,84.0,6.0,B-,100.0,0.0, , , , , , , , , , , ,2602,196,-4351,196,-482,359,-4303.0,357,5242,196,9459,277,8074,1,172942400,210,-53654,196,
68,106,Er,,,0.0,0.0,0+, ,3.2,2,M,192.0,12.0,B-,100.0,0.0, , , , , , , , , , , ,1915,301,-3765,298,-711,357,-6259.0,421,6367,357,9888,422,8064,2,173944230,320,-51949,298,
68,107,Er,,,0.0,0.0,(9/2+), ,1.2,3,M,72.0,18.0,B-,100.0,0.0, , , , , , , , , , , ,3659,404,-2859,403,-888,499,-5449.0,567,4774,499,10251,499,8045,2,174947770,430,-48652,401,
68,108,Er,,,0.0,0.0,0+,GT,160, ,NS,1.6E-7,5.0E15,B-,-1.0,0.0, , , , , , , , , , , ,2741,413,-2391,404,-1046,499,-7341.0,643,6050,566,10717,566,8034,2,175949940,430,-46631,401,
68,109,Er,,,0.0,0.0, ,GT,160, ,NS,1.6E-7,5.0E15,B-,-1.0,0.0, , , , , , , , , , , ,4611,585,-1558,513,-1344,643,,,4299,643,10857,711,8013,3,176953990,540,-42858,503,
68,110,Er,,,0.0,0.0,0+,GT,160, ,NS,1.6E-7,5.0E15,B-,-1.0,0.0, , , , , , , , , , , ,3855,718,-862,667,-1315,780,,,5473,780,,,7999,3,177956779,640,-40260,596,
69,101,Tm,5.2303,36,0.0,0.0,1-, ,128.6,3,D,1.111104E7,25920.0,B-,99.869,0.01,EC,0.131,0.01, , , , ,0.2468, ,0.74, ,968.066,801,-7489.61,114,850.56,107,312.828,1741,6591.96,17,6161.72,112,8105.517,5,169935806.507,859,-59795.853,801,
69,102,Tm,5.2388,37,0.0,0.0,1/2+, ,1.92,1,Y,6.0590592E7,315576.0,B-,100.0,0.0, , , , , , , ,-0.2303, , , ,96.512,972,-6517.70,97,645.41,5,-1491.342,1835,7485.76,123,6390.59,124,8101.893,6,170936435.126,1043,-59210.298,972,
69,103,Tm,5.2411,52,0.0,0.0,2-, ,63.6,3,H,228960.0,1080.0,B-,100.0,0.0, , , , , , , , , , , ,1881.067,5503,-6138.89,6,261.88,31,-890.767,7,6235.40,5,6944.39,5,8091.041,32,171938406.067,5907,-57374.379,5503,
69,104,Tm,,,0.0,0.0,(1/2+), ,8.24,8,H,29664.0,288.0,B-,100.0,0.0, , , , , , , , , , , ,1295.166,4400,-5071.93,4,116.2,21,-2602.059,196,6953.00,7,7061.42,6,8084.463,25,172939606.632,4723,-56256.059,4400,
69,105,Tm,,,0.0,0.0,(4)-, ,5.4,1,M,324.0,6.0,B-,100.0,0.0, , , , , , , , , , , ,3080,44721,-4384.60,45,-50.75,67,-1915.512,301,5679.77,45,7499,201,8070.642,257,173942174.064,48010,-53864.512,44721,
69,106,Tm,,,0.0,0.0,(1/2+), ,15.2,5,M,912.0,30.0,B-,100.0,0.0, , , , , , , , , , , ,2385,50000,-3437.35,50,-216.51,602,-3658.549,404,6517.35,67,7650,302,8061.766,286,174943842.313,53677,-52310.549,50000,
69,107,Tm,,,0.0,0.0,(4+), ,1.9,1,M,114.0,6.0,B-,100.0,0.0, , , , , , , , , , , ,4120,100000,-2747.08,100,-313,220,-2740.314,413,5132.08,112,8008,413,8045.121,568,175946997.711,107354,-49371.314,100000,
69,108,Tm,,,0.0,0.0,(7/2-), ,90,6,S,90.0,6.0,B-,100.0,0.0, , , , , , , , , , , ,3517,298,-2049,298,-543,422,-4611.0,585,6169,314,8127,499,8035,2,176949040,320,-47469,298,
69,109,TM,,,0.0,0.0, ,GT,300, ,NS,3.0E-7,5.0E15,B-,-1.0,0.0, , , , , , , , , , , ,5580,401,-1200,401,-851,499,-3856.0,718,4718,499,8546,643,8016,2,177952640,430,-44116,401,
69,110,Tm,,,0.0,0.0, ,GT,160, ,NS,1.6E-7,5.0E15,B-,-1.0,0.0, , , , , , , , , , , ,4937,540,24,503,-823,643,,,5556,643,8629,780,8002,3,178955340,540,-41601,503,
69,111,Tm,,,0.0,0.0, ,GT,300, ,NS,3.0E-7,5.0E15,B-,100.0,0.0, , , , , , , , , , , ,6680,585,546,540,-1055,711,,,4391,711,,,7982,3,179959291,540,-37920,503,
69,112,Tm,,,0.0,0.0, ,GT,160, ,NS,1.6E-7,5.0E15,B-N,-1.0,0.0,B-,-1.0,0.0, , , , , , , , ,5918,667,1358,667,,,,,5322,780,,,7967,3,180962243,640,-35170,596,
70,101,Yb,5.2906,57,0.0,0.0,1/2-, ,STABLE, , , , , , , , , , , , , , ,0.49367, , , ,-1478.414,1862,-10071.90,17,1559.45,117,-96.512,972,6614.21,1,6799.93,80,8097.882,0,170936331.517,14,-59306.810,13,
70,102,Yb,5.2995,57,0.0,0.0,0+, ,STABLE, , , , , , , , , , , , , , , , , , ,-2519.466,2336,-9498.37,186,1310.81,117,-1881.067,6,8019.95,2,7334.12,97,8097.429,0,171936386.658,14,-59255.446,14,
70,103,Yb,5.3046,59,0.0,0.0,5/2-, ,STABLE, , , , , , , , , , , , , , ,-0.67989, ,2.8, ,-670.31,1567,-8886.56,234,946.96,118,-1295.166,4,6367.10,2,7465.82,6,8087.427,0,172938216.215,12,-57551.225,11,
70,104,Yb,5.3108,60,0.0,0.0,0+, ,STABLE, , , , , , , , , , , , , , , , , , ,-1374.317,1567,-8134.91,157,739.25,155,-3080.0,45,7464.60,1,7977.42,4,8083.847,0,173938867.548,11,-56944.512,11,
70,105,Yb,5.3135,61,0.0,0.0,(7/2-), ,4.185,1,D,361584.0,86.4,B-,100.0,0.0, , , , , , , ,0.58, , , ,470.033,1206,-7196.67,157,598.49,156,-2385.0,50,5822.35,7,8120.01,45,8070.925,0,174941281.91,76,-54695.549,71,
70,106,Yb,5.3215,62,0.0,0.0,0+, ,STABLE, , , , , , , , , , , , , , , , , , ,-109.078,1212,-6397.05,121,567.38,4,-4120.0,100,6867.08,7,8469.74,50,8064.085,0,175942574.708,15,-53491.314,15,
70,107,Yb,,0,0.0,0.0,(9/2+), ,1.911,3,H,6879.6,10.8,B-,100.0,0.0, , , , , , , , , , , ,1397.409,1240,-5675.48,123,243,196,-3517.397,298,5566.40,22,8904.05,100,8049.973,1,176945263.848,236,-50986.397,220,
70,108,Yb,,,0.0,0.0,0+, ,74,3,M,4440.0,180.0,B-,100.0,0.0, , , , , , , , , , , ,642.309,10250,-5382.99,10,-171,298,-5579.475,401,6780.39,10,9516,298,8042.841,56,177946649.71,10735,-49695.475,10000,
70,109,Yb,,,0.0,0.0,(1/2-), ,8.0,4,M,480.0,24.0,B-,100.0,0.0, , , , , , , , , , , ,2521,196,-4271,196,-310,446,-4936.0,540,4913,196,9711,446,8025,1,178950040,210,-46537,196,
70,110,Yb,,,0.0,0.0,0+, ,2.4,5,M,144.0,30.0,B-,100.0,0.0, , , , , , , , , , , ,2076,306,-3612,298,-394,499,-6680.0,585,6134,357,10288,585,8015,2,179952120,320,-44600,298,
70,111,YB,,,0.0,0.0, ,GT,160, ,NS,1.6E-7,5.0E15,B-,-1.0,0.0, , , , , , , , , , , ,3709,324,-2483,306,-655,585,-5918.0,666,4560,422,10457,585,7996,2,180955890,320,-41088,298,
70,112,Yb,,,0.0,0.0,0+,GT,160, ,NS,1.6E-7,5.0E15,B-,-1.0,0.0, , , , , , , , , , , ,3060,446,-2094,420,-985,718,,,5803,499,10939,718,7984,2,181958325,430,-38820,401,
70,113,Yb,,,0.0,0.0, ,GE,222, ,NS,2.22E-7,5.0E15,B-,100.0,0.0, , , , , , , , , , , ,4616,408,-1291,446,,,,,4351,566,,,7964,2,182962319,430,-35100,401,
70,114,Yb,,,0.0,0.0,0+,GT,160, ,NS,1.6E-7,5.0E15,B-,-1.0,0.0, , , , , , , , , , , ,3872,585,-895,509,,,,,5512,643,,,7951,3,183965067,540,-32540,503,
70,115,Yb,,,0.0,0.0, ,GT,160, ,NS,1.6E-7,5.0E15,B-,-1.0,0.0, , , , , , , , , , , ,5388,585,-159,585,,,,,4031,711,,,7929,3,184969404,540,-28500,503,
71,101,Lu,5.3486,302,0.0,0.0,4-, ,6.70,3,D,578880.0,2592.0,EC+B+,100.0,0.0, , , , , , , ,2.25, ,3.8, ,-333.754,24540,-9375.95,29,2152.03,289,2519.466,2336,6978.90,263,4718.14,234,8078.232,14,171939091.417,2507,-56735.980,2336,
71,102,Lu,5.3577,303,0.0,0.0,7/2+, ,1.37,1,Y,4.3233912E7,315576.0,EC,100.0,0.0, , , , , , , ,2.34, , , ,-1469.132,27989,-8550.01,24,1969.38,176,670.309,1567,8216.25,224,4914.44,157,8079.03,9,172938935.822,1682,-56880.916,1567,
71,103,Lu,5.3634,303,0.0,0.0,(1)-, ,3.31,5,Y,1.04455656E8,1577880.0,EC+B+,100.0,0.0, , , , , , , ,1.94, , , ,274.286,2169,-8229.73,28,1800.74,176,1374.317,1567,6760.60,141,5307.94,157,8071.453,9,173940342.938,1682,-55570.195,1567,
71,104,Lu,5.3700,304,0.0,0.0,7/2+, ,STABLE, , , , , , , , , , , , , , ,2.2327, ,3.49, ,-683.92,1952,-7392.42,192,1619.8,155,-470.033,1209,7666.70,100,5510.04,121,8069.14,7,174940777.308,1295,-55165.582,1207,
71,105,Lu,5.3739,304,0.0,0.0,7-, ,3.76E+10,7,Y,1.18656576E18,2.209032E16,B-,100.0,0.0, , , , , , , ,3.1692, ,4.92, ,1194.085,874,-6971.89,195,1567.23,6,109.078,1212,6287.97,15,5975.66,121,8059.02,7,175942691.809,1301,-53382.236,1212,
71,106,Lu,5.3815,305,0.0,0.0,7/2+, ,6.647,4,D,574300.8,345.6,B-,100.0,0.0, , , , , , , ,2.2384, ,3.389, ,496.81,791,-5878.80,88,1447.34,5,-1397.409,124,7072.89,16,6181.46,122,8053.448,7,176943763.668,1310,-52383.806,1220,
71,107,Lu,5.3857,306,0.0,0.0,1(+), ,28.4,2,M,1704.0,12.0,B-,100.0,0.0, , , , , , , , , , , ,2097.451,2057,-5528.49,204,1101.81,45,-642.309,10,6025.30,189,6640.36,225,8042.054,13,177945960.162,2416,-50337.784,2251,
