Z,N,symb,radius, unc, energy, unc, jp, half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quad , unc,Qb-,unc,Qb- n,unc,Qa, unc, Qec, unc,Sn,unc, Sp,unc,Binding/A,unc,atomic mass, unc, mass excess,unc
19,31,K,,0,0.0,0.0,(0- 1- 2-), ,472,4,MS,0.472,0.004,B-,100.0,0.0,B-N,29.0,3.0, , , , , , , , ,13861.376,7892,7500.60,8,-14293.37,209,-12397.848,500,4187.67,8,15827,400,8288.582,155,49972380.017,8300,-25727.848,7731,
19,32,K,,0,0.0,0.0,(1/2+ 3/2+), ,365,5,MS,0.365,0.005,B-,100.0,0.0,B-N,47.0,5.0, , , , , , , , ,13816.107,13057,9001.71,13,-15161,400,-15826.196,600,4859.67,15,16475,500,8221.349,256,50975827.867,14006,-22516.196,13047,
19,33,K,,,0.0,0.0,(2-), ,110,6,MS,0.11,0.006,B-,100.0,0.0,B-N,74.0,9.0,B-2N,2.3,0.3, , , , , ,17128.639,33540,11123.36,34,-15282,501,-15857.627,601,2692.75,36,17737,601,8115.029,645,51981602,36000,-17137.627,33534,
19,34,K,,,0.0,0.0,(3/2+), ,30,5,MS,0.03,0.005,B-,100.0,0.0,B-N,67.0,0.0,B-2N,17.0,0.0, , , , , ,17091.983,120047,13899.23,112,-15661,610,-19086.721,708,3229.41,117,18305,610,8022.848,2109,52986800,120000,-12295.721,111779,
19,35,K,,,0.0,0.0,2-, ,10,5,MS,0.01,0.005,B-,100.0,0.0,B-2N,-1.0,0.0,B-N,-1.0,0.0, , , , , ,20158,598,16314,598,-15167,846,,,778,607,19082,918,7889,11,53994630,640,-5002,596,
19,36,K,,,0.0,0.0, ,GT,360, ,NS,3.6E-7,5.0E15,B-,-1.0,0.0,B-N,-1.0,0.0, , , , , , , , ,19058,760,17797,700,-16007,989,,,2361,918,,,7788,13,55000760,750,708,699,
19,37,K,,,0.0,0.0, ,GT,620, ,NS,6.2E-7,5.0E15,B-2N,-1.0,0.0,B-N,-1.0,0.0,B-,-1.0,0.0, , , , , ,21825,895,18206,855,,,,,852,1063,,,7664,14,56008510,860,7927,801,
20,14,Ca,,,0.0,0.0,0+,LT,35, ,NS,3.5E-8,0.0,2P,-1.0,0.0,P,-1.0,0.0, , , , , , , , ,,,,,-9505,362,15071.0,357,,,480,357,7204,9,34014870,320,13851,298,
20,15,Ca,,,0.0,0.0,(1/2+), ,25.7,2,MS,0.0257,2.0E-4,EC+B+,100.0,0.0,ECP,95.9,1.4,EC2P,4.1,0.6, , , , , ,,,,,-8962,280,15960.891,196,17135,357,1281,277,7487,6,35005140,210,4788,196,
20,16,Ca,,,0.0,0.0,0+, ,101.2,20,MS,0.1012,0.002,EC+B+,100.0,0.0,ECP,51.2,1.0, , , , , , , , ,-21802,301,,,-6675.71,40,10965.916,40,19310,200,2567.23,40,7815.879,1111,35993074.406,42941,-6451.149,40000,
20,17,Ca,,,0.0,0.0,(3/2+), ,181.1,10,MS,0.1811,0.001,EC+B+,100.0,0.0,ECP,82.1,0.7, , , , , , , , ,-16656,300,-36558,298,-6176.69,75,11664.133,641,14756.23,40,3007.97,72,8003.456,17,36985897.852,680,-13136.066,634,
20,18,Ca,,,0.0,0.0,0+, ,440,12,MS,0.44,0.012,EC+B+,100.0,0.0, , , , , , , , , , , ,-17809,200,-33650,300,-6105.12,21,6742.256,275,16993.75,66,4547.27,22,8240.043,5,37976319.226,208,-22058.499,194,
20,19,Ca,3.4595,25,0.0,0.0,3/2+, ,859.6,14,MS,0.8596,0.0014,EC+B+,100.0,0.0, , , , , , , ,1.02168, ,0.04, ,-13109.993,24007,-31105,200,-6660.33,90,6524.488,596,13295.52,63,5770.92,63,8369.67,15,38970710.813,640,-27282.702,596,
20,20,Ca,3.4776,19,0.0,0.0,0+, ,STABLE, , , , , , , , , , , , , , , , , , ,-14323.05,2828,-28744.99,24,-7039.76,3,-1310.892,6,15635.00,60,8328.16,2,8551.303,1,39962590.865,22,-34846.384,21,
20,21,Ca,3.4780,19,0.0,0.0,7/2-, ,9.94E+4,15,Y,3.13682544E12,4.73364E10,EC,100.0,0.0, , , , , , , ,-1.594781, ,-0.0665, ,-6495.478,158,-22685.87,283,-6615.14,25,421.653,138,8362.82,14,8891.37,15,8546.706,3,40962277.921,147,-35137.890,138,
20,22,Ca,3.5081,21,0.0,0.0,0+, ,STABLE, , , , , , , , , , , , , , , , , , ,-6426.092,97,-17976.15,16,-6257.34,25,-3525.219,183,11480.67,6,10276.67,15,8616.563,4,41958617.828,159,-38547.245,149,
20,23,Ca,3.4954,19,0.0,0.0,7/2-, ,STABLE, , , , , , , , , , , , , , ,-1.31726, ,-0.0408, ,-2220.72,1865,-14358.99,20,-7591.55,5,-1833.433,469,7932.89,17,10675.77,25,8600.663,5,42958766.43,244,-38408.822,228,
20,24,Ca,3.5179,21,0.0,0.0,0+, ,STABLE, , , , , , , , , , , , , , , , , , ,-3652.69,1757,-13351.89,188,-8853.7,32,-5687.183,53,11131.17,23,12182.26,52,8658.175,7,43955481.543,348,-41468.675,325,
20,25,Ca,3.4944,21,0.0,0.0,7/2-, ,162.61,9,D,1.4049504E7,7776.0,B-,100.0,0.0, , , , , , , ,-1.3274, ,0.046, ,259.722,747,-11067.51,176,-10169.58,50,-4196.536,638,7414.82,17,12319.65,56,8630.545,8,44956186.326,392,-40812.174,366,
20,26,Ca,3.4953,20,0.0,0.0,0+, ,STABLE, , , , , , , , , , , , , , , , , , ,-1378.143,2333,-10138.78,233,-11141.6,6,-7725.437,235,10398.50,225,13812.69,229,8668.979,49,45953687.988,2399,-43139.361,2235,
20,27,Ca,3.4783,23,0.0,0.0,7/2-, ,4.536,3,D,391910.4,259.2,B-,100.0,0.0, , , , , , ,= 7/2,-1.38, ,0.021, ,1992.177,1185,-8654.52,231,-12759.53,6,-6632.442,2625,7276.37,27,14219.46,234,8639.349,47,46954541.394,2385,-42344.418,2222,
20,28,Ca,3.4771,20,0.0,0.0,0+, ,1.9E19,+45-8,Y,5.995944E26,8.362764E26,2B-,75.0,0.0,2B-,69.0, ,B-,25.0,0.0, , , , , ,279.213,4950,-7959.35,193,-13976.29,159,-11940.152,779,9951.53,222,15801.62,140,8666.686,2,47952522.904,103,-44224.629,96,
20,29,Ca,,,0.0,0.0,3/2-, ,8.718,6,M,523.08,0.36,B-,100.0,0.0, , , , , , , ,-1.38, , , ,5261.5,2702,-4867.24,5,-13953.88,55,-11688.275,826,5146.45,18,16304.26,80,8594.844,4,48955662.875,216,-41299.765,201,
20,30,Ca,3.5168,64,0.0,0.0,0+, ,13.9,6,S,13.9,0.6,B-,100.0,0.0, , , , , , , , , , , ,4958.158,15084,-1099.28,3,-12241.21,194,-13861.376,8,6360.78,160,17266.70,177,8550.163,32,49957499.217,1700,-39589.224,1584,
20,31,Ca,,,0.0,0.0,(3/2-), ,10.0,8,S,10.0,0.8,B-,100.0,0.0,B-N,-1.0,0.0, , , , , , , , ,6896.381,20007,143.76,15,-13390.88,123,-13816.108,13,4814.40,167,17893.43,8,8476.913,10,50960995.665,560,-36332.304,522,
20,32,Ca,,,0.0,0.0,0+, ,4.6,3,S,4.6,0.3,B-,100.0,0.0,B-N,-1.0,0.0, , , , , , , , ,6177.013,81855,891.10,20,-14409.84,307,-17128.639,34,6005.28,85,19039.04,13,8429.381,13,51963213.648,720,-34266.266,671,
20,33,Ca,,,0.0,0.0,(1/2-), ,461,90,MS,0.461,0.09,B-,100.0,0.0,B-N,40.0,10.0, , , , , , , , ,9519.104,103774,2984.26,93,-14623,402,-17091.983,120,3192.76,44,19539.05,55,8330.577,826,52968451,47000,-29387.704,43780,
20,34,Ca,,,0.0,0.0,0+, ,107,14,MS,0.107,0.014,B-,100.0,0.0,B-2N,-1.0,0.0,B-N,-1.0,0.0, , , , , ,8730.315,277066,5674.91,106,-14256,503,-20158.585,598,3844.20,65,20153.83,122,8247.496,897,53972989,52000,-25160.585,48438,
20,35,Ca,,,0.0,0.0,(5/2-), ,22,2,MS,0.022,0.002,B-,100.0,0.0,B-N,-1.0,0.0, , , , , , , , ,11809,544,7469,405,-14085,671,-19058.0,761,1261,304,20637,667,8120,5,54980300,322,-18350,300,
20,36,Ca,,,0.0,0.0,0+, ,11,2,MS,0.011,0.002,B-,100.0,0.0,B-N,-1.0,0.0, , , , , , , , ,10954,710,8190,605,-15043,721,-21825.0,895,3619,500,21895,805,8040,7,55985080,429,-13898,400,
20,37,CA,,,0.0,0.0, ,GT,620, ,NS,6.2E-7,5.0E15,B-2N,-1.0,0.0,B-,-1.0,0.0,B-N,-1.0,0.0, , , , , ,14121,1364,9907,710,-16090,805,,,1048,565,22090,895,7917,7,56992620,429,-6874,400,
20,38,CA,,,0.0,0.0,0+,GT,620, ,NS,6.2E-7,5.0E15,B-,-1.0,0.0,B-N,-1.0,0.0, , , , , , , , ,12957,640,11006,1397,,,,,3116,640,,,7835,9,57997940,537,-1919,500,
21,17,Sc,,,0.0,0.0, , , , , , , ,P,-1.0,0.0, , , , , , , , , , , ,-15119,361,,,-5454,280,17809.499,200,15841,361,-1598,200,7751,5,37995438,215,-4249,200,
21,18,Sc,,,0.0,0.0,(7/2-),LT,300, ,NS,3.0E-7,0.0,P,100.0,0.0, , , , , , , , , , , ,-16373,202,-33114,301,-5424.73,24,13109.993,24,17995,202,-596.82,24,8013.456,615,38984784.97,25765,-14172.709,24000,
21,19,Sc,,,0.0,0.0,4-, ,182.3,7,MS,0.1823,7.0E-4,EC+B+,100.0,0.0,ECP,0.44,0.07,ECA,0.017,0.005, , , , , ,-11672.95,160025,-30795,200,-5531.19,285,14323.049,2828,14421.94,24,529.60,289,8173.669,71,39977967.292,3036,-20523.335,2828,
21,20,Sc,,,0.0,0.0,7/2-, ,596.3,17,MS,0.5963,0.0017,EC+B+,100.0,0.0, , , , , , , ,5.4305, ,-0.156, ,-12944.875,27945,-27863.34,160,-6267.13,13,6495.478,161,16190.39,283,1085.00,8,8369.198,2,40969251.104,88,-28642.412,83,
21,21,Sc,3.5702,238,0.0,0.0,0+, ,680.79,28,MS,0.68079,2.8E-4,EC+B+,100.0,0.0, , , , , , ,= 1, , , , ,-7016.479,224,-24494.93,28,-5745.31,26,6426.092,225,11550.06,16,4272.23,10,8444.933,4,41965516.522,181,-32121.153,169,
21,22,Sc,3.5575,147,0.0,0.0,7/2-, ,3.891,12,H,14007.6,43.2,EC+B+,100.0,0.0, , , , , , , ,4.528, ,-0.27, ,-6867.02,7481,-19154.75,187,-4805.83,186,2220.72,187,12138.27,186,4929.83,186,8530.825,43,42961150.472,1999,-36188.102,1863,
21,23,Sc,3.5432,16,0.0,0.0,2+, ,3.97,4,H,14292.0,144.0,EC+B+,100.0,0.0, , , , , , , ,2.499, ,0.16, ,-267.416,1890,-16566.22,7,-6705.41,176,3652.69,178,9699.20,254,6696.13,174,8557.379,40,43959402.867,1884,-37815.985,1756,
21,24,Sc,3.5459,25,0.0,0.0,7/2-, ,STABLE, , , , , , , , , , , , , , ,4.756487, ,-0.22, ,-2062.056,509,-11594.64,97,-7937.27,67,-259.722,768,11327.23,188,6892.19,73,8618.931,15,44955907.503,724,-41071.896,675,
21,25,Sc,3.5243,89,0.0,0.0,4+, ,83.79,4,D,7239456.0,3456.0,B-,100.0,0.0, , , , , , , ,3.03, ,0.119, ,2366.581,667,-10822.70,52,-9164.11,69,1378.142,2337,8760.64,10,8238.02,75,8622.012,15,45955167.485,732,-41761.219,683,
21,26,Sc,,,0.0,0.0,7/2-, ,3.3492,6,D,289370.88,51.84,B-,100.0,0.0, , , , , , ,= 5/2,5.34, ,-0.22, ,600.769,1929,-8280.11,193,-10186.12,198,-1992.177,2945,10646.69,204,8486.20,121,8665.09,41,46952402.704,2074,-44336.595,1933,
21,27,Sc,,,0.0,0.0,6+, ,43.67,9,H,157212.0,324.0,B-,100.0,0.0, , , , , , , , , , , ,3988.866,4950,-7637.80,5,-11147.27,5,-279.213,5,8238.56,5,9448.39,5,8656.204,103,47952223.157,5314,-44503.842,4951,
21,28,Sc,,,0.0,0.0,7/2-, ,57.18,13,M,3430.8,7.8,B-,100.0,0.0, , , , , , , , , , , ,2002.522,2697,-6139.87,270,-12370.54,275,-5261.5,27,10128.74,6,9625.61,270,8686.256,55,48950014.423,2896,-46561.265,2698,
21,29,Sc,,,0.0,0.0,5+, ,102.5,5,S,102.5,0.5,B-,100.0,0.0, , , , , , , , , , , ,6884.278,15000,-4054.91,15,-11558.37,15,-4958.158,15,6057.43,15,10536.59,15,8633.679,300,49952176.415,16103,-44547.382,15000,
21,30,Sc,,,0.0,0.0,(7/2)-, ,12.4,1,S,12.4,0.1,B-,100.0,0.0, , , , , , , , , , , ,6504.153,20006,131.66,20,-9941.62,20,-6896.38,20,6752.62,25,10928.43,20,8596.796,392,50953592.095,21471,-43228.684,20000,
21,31,Sc,,,0.0,0.0,3(+), ,8.2,2,S,8.2,0.2,B-,100.0,0.0, , , , , , , , , , , ,9026.541,82157,1218.24,82,-10583.72,82,-6177.013,82,5285.91,84,11399.95,82,8533.125,1574,51956582.351,87871,-40443.279,81852,
21,32,Sc,,,0.0,0.0,(7/2-), ,2.6,4,S,2.6,0.4,B-,100.0,0.0,B-N,-1.0,0.0, , , , , , , , ,7924.253,137339,2491.70,94,-11720.23,94,-9519.104,104,6534.85,125,11929.51,94,8495.421,1775,52958231.821,101006,-38906.808,94087,
21,33,Sc,,,0.0,0.0,(3)+, ,526,15,MS,0.526,0.015,B-,100.0,0.0,B-N,16.0,9.0, , , , , , , , ,11731.081,284990,4868.84,291,-10587.97,273,-8730.315,277,3055.41,289,11792.17,276,8394.681,5052,53963616.62,292862,-33890.900,272800,
21,34,Sc,,,0.0,0.0,(7/2-), ,105,6,MS,0.105,0.006,B-,100.0,0.0,B-N,-1.0,0.0, , , , , , , , ,11508.735,482226,7391.31,462,-10068.07,455,-11809.352,544,4339.77,530,12287.74,457,8320.955,8261,54967622.601,487756,-30159.352,454342,
21,35,Sc,,,0.0,0.0,(1+), ,26,6,MS,0.026,0.006,B-,100.0,0.0,B-N,-1.0,0.0, , , , , , , , ,14467.788,599236,8744.51,609,-10139.55,588,-10954.26,710,2764.22,742,13791,659,8221.728,10479,55973320,630000,-24852.260,586841,
21,36,Sc,,,0.0,0.0, , ,13,4,MS,0.013,0.004,B-,100.0,0.0,B-N,-1.0,0.0,B-2N,-1.0,0.0, , , , , ,12919.758,1329062,10252.86,1310,-11125.07,1309,-14121.875,1364,4214.93,1430,14387,1364,8151.433,22879,56977460,1400000,-20995.875,1304092,
21,37,SC,,,0.0,0.0, , ,12,5,MS,0.012,0.005,B-,100.0,0.0,B-N,-1.0,0.0, , , , , , , , ,16234,447,10968,475,-12299,718,-12957.0,640,1951,1364,15291,565,8045,7,57984030,429,-14876,400,
21,38,SC,,,0.0,0.0, ,GT,360, ,NS,3.6E-7,5.0E15,B-N,-1.0,0.0,B-,-1.0,0.0, , , , , , , , ,15208,447,12736,447,-13435,805,,,3498,565,15672,640,7967,7,58988940,429,-10302,400,
21,40,SC,,,0.0,0.0, ,GT,620, ,NS,6.2E-7,5.0E15,B-2N,-1.0,0.0,B-N,-1.0,0.0,B-,-1.0,0.0, , , , , ,17281,721,15190,671,,,,,3088,781,,,7787,10,61001000,644,931,600,
22,16,Ti,,,0.0,0.0, , , , , , , ,2P,-1.0,0.0, , , , , , , , , , , ,,,,,-5407,423,15119.0,361,,,-61,424,7332,8,38011669,322,10870,300,
22,17,Ti,,,0.0,0.0,(3/2+), ,31,+6-4,MS,0.031,0.005,ECP+EC2P,100.0,0.0,EC+B+,100.0,0.0,ECP,93.7, ,= 5/2, , , , ,,,,,-5013,280,16372.709,201,16741,361,839,283,7574,5,39002362,215,2200,200,
22,18,Ti,,,0.0,0.0,0+, ,53.3,15,MS,0.0533,0.0015,ECP,100.0,0.0,EC+B+,100.0,0.0, , , , , , , , ,-21020,340,,,-4824.15,165,11672.951,160,19122,256,1966.65,162,7862.286,4000,39990498.721,171767,-8850.384,160000,
22,19,Ti,,,0.0,0.0,3/2+, ,81.9,5,MS,0.0819,5.0E-4,ECP,100.0,0.0,EC+B+,100.0,0.0, , , , , , , , ,-16018,202,-35939,301,-4986.39,28,12944.875,28,14918.47,162,2463.17,28,8034.388,682,40983148,30000,-15697.537,27945,
22,20,Ti,,,0.0,0.0,0+, ,208.65,80,MS,0.20865,8.0E-4,EC+B+,100.0,0.0, , , , , , , , , , , ,-17485,196,-33496,200,-5471.09,34,7016.479,324,17478.45,28,3751.23,27,8259.247,7,41973049.022,297,-25104.674,277,
22,21,Ti,,,0.0,0.0,7/2-, ,509,5,MS,0.509,0.005,EC+B+,100.0,0.0,ECP,-1.0,0.0, , , , ,0.85, , , ,-11404.726,43457,-29773,196,-4463.3,7,6867.02,7,12287.73,7,4488.90,7,8352.932,168,42968522.521,7777,-29321.082,7245,
22,22,Ti,3.6115,51,0.0,0.0,0+, ,59.1,3,Y,1.86505416E9,9467280.0,EC,100.0,0.0, , , , , , , , , , , ,-13432.189,181643,-27703.53,43,-5127.1,70,267.416,189,16298.80,7,8649.44,199,8533.52,16,43959689.951,751,-37548.569,700,
22,23,Ti,3.5939,32,0.0,0.0,7/2-, ,184.8,5,M,11088.0,30.0,EC+B+,100.0,0.0, , , , , , ,= 1/2,0.095, ,0.015, ,-7123.824,214,-22964.78,182,-6296.87,85,2062.056,1082,9532.59,110,8482.83,195,8555.722,19,44958121.211,907,-39009.840,845,
22,24,Ti,3.6070,22,0.0,0.0,0+, ,STABLE, , , , , , , , , , , , , , , , , , ,-7052.449,93,-20313.10,86,-8005.47,22,-2366.58,70,13189.28,83,10344.87,66,8656.451,4,45952626.856,176,-44127.799,165,
22,25,Ti,3.5962,19,0.0,0.0,5/2-, ,STABLE, , , , , , , , , , , , , ,= 3/2,-0.78848, ,0.3, ,-2930.746,138,-15933.33,18,-8953.46,25,-600.769,1936,8880.88,13,10465.12,68,8661.227,2,46951757.752,123,-44937.364,115,
22,26,Ti,3.5921,17,0.0,0.0,0+, ,STABLE, , , , , , , , , , , , , , , , , , ,-4015.015,969,-14557.41,14,-9448.95,34,-3988.867,5,11626.66,4,11445.08,193,8723.006,2,47947940.932,117,-48492.709,109,
22,27,Ti,3.5733,21,0.0,0.0,7/2-, ,STABLE, , , , , , , , , , , , , ,= 5/2,-1.10417, ,0.247, ,-601.856,820,-12157.41,97,-10176.53,38,-2002.522,27,8142.40,3,11348.92,5,8711.157,2,48947864.627,122,-48563.787,114,
22,28,Ti,3.5704,22,0.0,0.0,0+, ,STABLE, , , , , , , , , , , , , , , , , , ,-2207.647,426,-11541.05,82,-10717.21,223,-6884.278,15,10939.19,4,12159.37,270,8755.718,2,49944785.839,129,-51431.660,121,
22,29,Ti,,,0.0,0.0,3/2-, ,5.76,1,M,345.6,0.6,B-,100.0,0.0, , , , , , , , , , , ,2471.005,644,-8580.14,65,-9813.33,227,-6504.153,20,6372.49,49,12474.43,15,8708.988,10,50946609.6,541,-49732.837,505,
22,30,Ti,,,0.0,0.0,0+, ,1.7,1,M,102.0,6.0,B-,100.0,0.0, , , , , , , , , , , ,1973.948,7085,-5337.30,7,-7670.11,7,-9026.541,82,7808.30,7,13530.11,21,8691.667,136,51946891.96,7592,-49469.820,7072,
22,31,Ti,,,0.0,0.0,(3/2)-, ,32.7,9,S,32.7,0.9,B-,100.0,0.0, , , , , , , , , , , ,5020,100000,-3458.61,100,-7956.21,100,-7924.253,137,5432.56,100,13676.75,129,8630.174,1888,52949724.785,107406,-46831.061,100049,
22,32,Ti,,,0.0,0.0,0+, ,2.1,10,S,2.1,1.0,B-,100.0,0.0, , , , , , , , , , , ,4271.192,83815,-1842.24,83,-8457.67,82,-11731.081,285,6862.24,130,14004.14,125,8597.435,1527,53951022.786,88526,-45621.981,82461,
22,33,Ti,,,0.0,0.0,(1/2)-, ,1.3,1,S,1.3,0.1,B-,100.0,0.0, , , , , , , , , , , ,7476.498,157206,153.77,162,-7760.7,162,-11508.736,482,4117.42,181,15066.16,317,8515.98,2938,54955267.465,173486,-41668.088,161602,
22,34,Ti,,,0.0,0.0,0+, ,0.200,5,S,0.2,0.005,B-,100.0,0.0,B-N,-1.0,0.0, , , , , , , , ,6834.833,194550,1753.22,154,-7478.7,121,-14467.788,599,5723.28,202,16449.67,470,8466.11,2165,55957788.19,130163,-39320.048,121247,
22,35,Ti,,,0.0,0.0,(5/2-), ,98,5,MS,0.098,0.005,B-,100.0,0.0,B-N,-1.0,0.0, , , , , , , , ,10497.818,268750,4167.93,312,-6952.84,260,-12919.758,1329,2666.90,284,16352.34,640,8364.37,4499,56963590.068,275274,-33915.633,256416,
22,36,Ti,,,0.0,0.0,0+, ,58,9,MS,0.058,0.009,B-,100.0,0.0,B-N,-1.0,0.0, , , , , , , , ,9292,219,5232,216,-8374,206,-16234.0,447,5266,325,17403,1319,8311,3,57966602,215,-31110,200,
22,37,Ti,,,0.0,0.0, , ,58,17,MS,0.058,0.017,B-,-1.0,0.0, , , , , , , , , , , ,12322,258,6821,219,-9584,361,-15208.0,447,2471,283,17923,447,8212,3,58972614,215,-25510,200,
22,38,Ti,,,0.0,0.0,0+, ,22,2,MS,0.022,0.002,B-,100.0,0.0,B-2N,-1.0,0.0,B-N,-1.0,0.0, , , , , ,10912,372,7431,341,-10857,500,-18278.0,583,4891,361,19316,500,8157,5,59976028,322,-22330,300,
22,39,TI,,,0.0,0.0,(1/2-), ,15,4,MS,0.015,0.004,B-,100.0,0.0,B-2N,-1.0,0.0,B-N,-1.0,0.0, , , , , ,14157,979,8821,456,-11900,565,-17281.0,721,2091,500,19587,640,8057,7,60982448,429,-16350,400,
22,40,TI,,,0.0,0.0,0+,GT,620, ,NS,6.2E-7,5.0E15,B-N,-1.0,0.0,B-,-1.0,0.0, , , , , , , , ,12977,499,9935,979,-13006,640,,,4221,565,20720,721,7995,6,61986581,429,-12500,400,
22,41,TI,,,0.0,0.0, ,GT,360, ,NS,3.6E-7,5.0E15,B-,-1.0,0.0,B-N,-1.0,0.0, , , , , , , , ,16140,640,11655,582,,,,,1322,640,,,7889,8,62993827,537,-5750,500,
22,42,Ti,,,0.0,0.0,0+,GT,620, ,NS,6.2E-7,5.0E15,B-2N,-1.0,0.0,B-N,-1.0,0.0,B-,-1.0,0.0, , , , , ,15295,721,12794,721,,,,,3346,781,,,7818,9,63998900,644,-1025,600,
23,19,V,,,0.0,0.0, ,LT,55, ,NS,5.5E-8,0.0,P,-1.0,0.0, , , , , , , , , , , ,-14350,445,,,-5795,280,17484.674,196,16011,280,-789,198,7824,5,41991820,210,-7620,196,
23,20,V,,,0.0,0.0, , ,79.3,24,MS,0.0793,0.0024,EC+B+,100.0,0.0,ECP,-1.0,0.0, , , , , , , , ,-15946,402,-32718,402,-6168.56,49,11404.726,43,18368,200,100.65,43,8069.512,996,42980766,46000,-17916.356,42849,
23,21,V,,,0.0,0.0,(2)+, ,111,7,MS,0.111,0.007,EC+B+,100.0,0.0,ECA,-1.0,0.0, , , , , , , , ,-10756,351,-30218,439,-6017.96,182,13432.189,182,14271.34,187,2084.27,182,8210.463,4128,43974110,195000,-24116.380,181641,
23,22,V,,,0.0,0.0,7/2-, ,547,6,MS,0.547,0.006,EC+B+,100.0,0.0, , , , , , , , , , , ,-12371.217,35408,-26597,300,-5668.52,88,7123.824,1214,15840.95,182,1626.42,112,8380.029,19,44965768.951,935,-31886.016,872,
23,23,V,,,0.0,0.0,0+, ,422.50,11,MS,0.4225,1.1E-4,EC+B+,100.0,0.0, , , , , , , , , , , ,-7603.784,11455,-25631.87,35,-7379.11,26,7052.448,261,13260.65,86,5354.48,84,8486.13,4,45960197.971,216,-37075.351,202,
23,24,V,,,0.0,0.0,3/2-, ,32.6,3,M,1956.0,18.0,EC+B+,100.0,0.0, , , , , , , , , , , ,-7444.04,6032,-20606.37,11,-8243.43,187,2930.746,204,13002.58,11,5167.79,7,8582.225,4,46954904.038,181,-42006.618,169,
23,25,V,,,0.0,0.0,4+, ,15.9735,25,D,1380110.4,216.0,EC+B+,100.0,0.0, , , , , , , ,2.012, , , ,-1655.673,7388,-17986.43,6,-9086.62,200,4015.015,981,10542.39,98,6829.30,97,8623.061,20,47952251.229,1046,-44477.694,975,
23,26,V,,,0.0,0.0,7/2-, ,330,15,D,2.8512E7,1296000.0,EC,100.0,0.0, , , , , , ,= 3/2,4.47, , , ,-2628.871,2391,-13211.23,7,-9314.95,106,601.856,836,11555.55,127,6758.19,82,8682.908,17,48948510.746,889,-47961.931,828,
23,27,V,,,0.0,0.0,6+, ,1.4E+17,+4-3,Y,4.418064E24,1.104516E24,EC+B+,83.0,11.0,B-,17.0,11.0, , , , ,3.3456889, ,0.21, ,1038.059,299,-11962.27,222,-9887.71,80,2207.647,427,9333.40,92,7949.20,42,8695.918,8,49947155.845,438,-49224.013,409,
23,28,V,3.6002,22,0.0,0.0,7/2-, ,STABLE, , , , , , , , , , , , , , , , ,-0.043, ,-752.447,213,-10013.09,28,-10292.16,197,-2471.005,645,11051.15,8,8061.15,42,8742.099,8,50943956.867,430,-52203.842,401,
23,29,V,,,0.0,0.0,3+, ,3.743,5,M,224.58,0.3,B-,100.0,0.0, , , , , , , , , , , ,3975.473,531,-8063.69,25,-9364.84,5,-1973.949,7,7311.24,13,8999.90,66,8714.582,8,51944772.839,450,-51443.769,420,
23,30,V,,,0.0,0.0,7/2-, ,1.543,14,M,92.58,0.84,B-,100.0,0.0, , , , , , , , , , , ,3435.938,3102,-4503.14,3,-7714.71,4,-5020.0,100,8478.61,3,9670.21,8,8710.13,59,52944335.593,3349,-51851.061,3120,
23,31,V,,,0.0,0.0,3+, ,49.8,5,S,49.8,0.5,B-,100.0,0.0, , , , , , , , , , , ,7041.592,15000,-2677.49,15,-7770.71,21,-4271.192,84,6113.43,15,10351.08,101,8662.043,278,53946437.472,16107,-49893.173,15004,
23,32,V,,,0.0,0.0,(7/2-), ,6.54,15,S,6.54,0.15,B-,100.0,0.0, , , , , , , , , , , ,5965.125,95103,-281.14,95,-8340.82,97,-7476.498,188,7322.73,96,10811.58,126,8637.692,1729,54947241.114,102098,-49144.586,95104,
23,33,V,,,0.0,0.0,1+, ,0.216,4,S,0.216,0.004,B-,100.0,0.0,B-N,-1.0,0.0, , , , , , , , ,9130.12,176899,883.51,177,-8136.52,195,-6834.833,214,5081.61,201,11775.76,240,8574.191,3159,55950450.694,189907,-46154.881,176898,
23,34,V,,,0.0,0.0,(7/2-), ,0.32,3,S,0.32,0.03,B-,100.0,0.0,B-N,-1.0,0.0, , , , , , , , ,8111.252,80486,2800.23,80,-7931.56,124,-10497.817,269,6329.89,194,12382.37,146,8534.817,1412,56952320.197,86397,-44413.450,80479,
23,35,V,,,0.0,0.0,(1+), ,191,10,MS,0.191,0.01,B-,100.0,0.0,B-N,-1.0,0.0, , , , , , , , ,11590.049,89386,4051.63,89,-8935.77,287,-9291.753,219,4059.62,120,13775.09,272,8457.658,1541,57956626.932,95947,-40401.753,89374,
23,36,V,,,0.0,0.0,(5/2- 3/2-), ,75,7,MS,0.075,0.007,B-,100.0,0.0, , , , , , , , , , , ,10253.745,270218,6088.47,162,-10097.58,482,-12322.015,257,5501.58,185,14011,258,8407.555,2744,58959385.659,173778,-37832.015,161874,
23,37,V,,,0.0,0.0, , ,122,18,MS,0.122,0.018,B-,100.0,0.0,B-2N,-1.0,0.0,B-N,-1.0,0.0, , , , , ,13427.621,293169,6772.49,309,-10814.61,627,-10911.956,372,3481.26,273,15021,298,8325.45,3669,59964313.29,236350,-33241.956,220159,
